L,a,b
0.643780,-0.078356,-0.032681
0.451310,-0.000289,-0.070566
0.725546,-0.092528,0.074305
0.768651,-0.086264,-0.092120
0.599565,-0.017090,0.058259
0.657735,-0.148872,0.072215
0.613743,-0.078528,-0.044435
0.491552,-0.017628,-0.058665
0.779489,-0.123949,0.110664
0.816817,-0.115928,-0.029721
0.612164,-0.055613,0.082604
0.672405,-0.158747,0.092712
0.672675,-0.091988,-0.027099
0.461690,0.001626,-0.081686
0.728008,-0.090504,0.094303
0.809101,-0.116521,-0.046535
0.564425,-0.033031,0.062962
0.696343,-0.165508,0.094591
0.658044,-0.095050,-0.013219
0.453337,-0.000556,-0.079105
0.756407,-0.106103,0.111303
0.787604,-0.103532,-0.063169
0.625742,-0.042220,0.089979
0.683637,-0.166199,0.101898
0.655188,-0.093072,-0.026070
0.452057,-0.009011,-0.074643
0.770104,-0.123015,0.103996
0.787995,-0.098290,-0.055283
0.605646,-0.033845,0.075568
0.660340,-0.162503,0.102316
0.646800,-0.084792,-0.028192
0.500774,0.006734,-0.075075
0.713884,-0.081853,0.101226
0.789955,-0.106202,-0.055271
0.573629,-0.020188,0.040391
0.681356,-0.166088,0.103223
0.635931,-0.083554,-0.030720
0.450693,0.016578,-0.075936
0.756020,-0.101821,0.092085
0.774091,-0.096824,-0.057168
0.595746,-0.042389,0.067174
0.641129,-0.148937,0.079218
0.653543,-0.094589,-0.021384
0.479215,-0.005473,-0.080188
0.762560,-0.100160,0.105838
0.831025,-0.114626,-0.051254
0.624463,-0.041524,0.071134
0.692212,-0.169479,0.106368
0.634713,-0.071741,-0.023423
0.468026,0.018051,-0.096449
0.721178,-0.104017,0.104259
0.792348,-0.096767,-0.080969
0.586058,-0.034834,0.051952
0.698407,-0.165802,0.098338
0.630035,-0.079539,-0.021935
0.453134,-0.005560,-0.094597
0.735240,-0.099116,0.090692
0.795434,-0.115598,-0.039351
0.601715,-0.036586,0.072544
0.686070,-0.169241,0.107111
0.648791,-0.083186,-0.034290
0.418682,0.004388,-0.099758
0.731498,-0.097279,0.083119
0.820278,-0.113297,-0.050598
0.590467,-0.050116,0.062600
0.647022,-0.146996,0.073068
0.657892,-0.091394,-0.021621
0.444319,0.005633,-0.074751
0.753344,-0.109220,0.094634
0.759250,-0.097894,-0.074236
0.589685,-0.045687,0.078608
0.671443,-0.159187,0.090291
0.666279,-0.098047,0.006272
0.476932,0.010147,-0.061271
0.735979,-0.086084,0.082765
0.757511,-0.090907,-0.071788
0.598540,-0.029127,0.051131
0.689660,-0.161743,0.088724
0.669002,-0.097892,-0.015029
0.501297,-0.007813,-0.068881
0.740236,-0.104571,0.089426
0.772950,-0.094490,-0.076585
0.599618,-0.061264,0.074242
0.682439,-0.168284,0.106408
0.679604,-0.101810,-0.016609
0.433359,0.006714,-0.104124
0.736798,-0.107942,0.095538
0.686071,-0.158103,0.081852
0.656354,-0.083709,-0.032613
0.458240,-0.007182,-0.105990
0.746060,-0.127922,0.099272
0.799917,-0.096065,-0.055123
0.565052,-0.035761,0.058118
0.652704,-0.143081,0.060932
0.634115,-0.066538,-0.055711
0.460944,0.033778,-0.116217
0.746711,-0.120801,0.097387
0.787254,-0.109422,-0.047548
0.550350,-0.012024,0.053837
0.657001,-0.154837,0.087402
0.646650,-0.089448,-0.010221
0.465605,0.015102,-0.056539
0.733480,-0.090960,0.077851
0.791318,-0.101884,-0.043593
0.585185,-0.066150,0.078552
0.653293,-0.153441,0.084564
0.637584,-0.069099,-0.035836
0.467770,0.022812,-0.064279
0.731653,-0.093426,0.087738
0.792868,-0.101426,-0.065998
0.578231,-0.032768,0.066322
0.647830,-0.152325,0.084237
0.635465,-0.089824,-0.031135
0.453361,0.002331,-0.112524
0.701100,-0.080491,0.072947
0.793375,-0.106829,-0.062846
0.596724,-0.059164,0.067663
0.667077,-0.156417,0.086599
0.639024,-0.093766,-0.014793
0.464706,-0.003288,-0.074855
0.719815,-0.114470,0.093403
0.801115,-0.108428,-0.052378
0.592261,-0.047538,0.058952
0.645840,-0.148416,0.076084
0.648606,-0.080161,-0.034317
0.455939,0.008395,-0.072804
0.730328,-0.103334,0.101163
0.783634,-0.111726,-0.055058
0.600674,-0.042902,0.078700
0.677606,-0.160028,0.092617
0.636447,-0.078341,-0.010164
0.426628,0.023792,-0.108326
0.774558,-0.115936,0.083355
0.817727,-0.109667,-0.048831
0.544431,-0.022987,0.054874
0.664109,-0.143537,0.059376
0.643407,-0.082722,-0.021549
0.427321,0.026019,-0.110664
0.737353,-0.113993,0.093714
0.757263,-0.084050,-0.081881
0.598609,-0.040523,0.062895
0.669519,-0.151508,0.073436
0.624299,-0.087022,-0.012315
0.448171,0.017086,-0.077612
0.740056,-0.115799,0.092534
0.783428,-0.095245,-0.073120
0.593886,-0.044852,0.073645
0.677333,-0.156331,0.083806
0.612232,-0.075971,-0.044205
0.473859,-0.007134,-0.073018
0.713112,-0.096796,0.088610
0.825910,-0.125343,-0.029900
0.614221,-0.059666,0.084859
0.672363,-0.158224,0.087938
0.647167,-0.081364,-0.019951
0.481752,0.009317,-0.050141
0.770675,-0.109715,0.087226
0.820048,-0.121531,-0.034937
0.607182,-0.040511,0.078229
0.650171,-0.144084,0.065147
0.651671,-0.076816,-0.042706
0.449921,0.004608,-0.075307
0.745529,-0.121097,0.102622
0.828754,-0.123320,-0.019290
0.568941,-0.030409,0.048535
0.687512,-0.167253,0.102080
0.643481,-0.093559,0.001278
0.430533,0.014478,-0.098295
0.739017,-0.088525,0.087598
0.804570,-0.124317,-0.021110
0.599132,-0.048531,0.070321
0.669815,-0.149872,0.069504
0.623073,-0.074093,-0.041590
0.443259,-0.010903,-0.072248
0.743135,-0.120072,0.091748
0.819523,-0.110675,-0.042633
0.580608,-0.018436,0.063857
0.655525,-0.155179,0.087618
0.643660,-0.084177,-0.014909
0.429688,0.035656,-0.091917
0.733757,-0.098317,0.087110
0.779643,-0.103148,-0.052553
0.564639,-0.043461,0.045715
0.649337,-0.148185,0.074107
0.629169,-0.080570,-0.030222
0.439690,0.017948,-0.083370
0.733590,-0.093366,0.087900
0.795510,-0.102254,-0.072169
0.588489,-0.043603,0.070006
0.647138,-0.155529,0.095047
0.607076,-0.074025,-0.048434
0.447420,0.007472,-0.067468
0.745947,-0.115468,0.091788
0.801272,-0.105216,-0.048908
0.623834,-0.060903,0.087923
0.701505,-0.164473,0.090137
0.623385,-0.067547,-0.035812
0.428645,0.013536,-0.076633
0.771118,-0.126564,0.106383
0.799641,-0.114267,-0.040994
0.601167,-0.046479,0.078710
0.652754,-0.146525,0.071796
0.629876,-0.069148,-0.036550
0.477689,-0.003282,-0.039561
0.716470,-0.096377,0.080515
0.786842,-0.113835,-0.036239
0.591240,-0.033850,0.074756
0.655820,-0.146844,0.068293
0.646841,-0.086268,-0.025053
0.469196,0.005811,-0.073284
0.734666,-0.117603,0.086941
0.785563,-0.102560,-0.052554
0.561120,-0.028958,0.043527
0.663655,-0.151033,0.074768
0.641591,-0.092898,-0.001204
0.475889,0.008354,-0.077288
0.737684,-0.104395,0.085378
0.795073,-0.105506,-0.049662
0.568131,-0.025718,0.061220
0.698151,-0.161880,0.087271
0.633589,-0.086746,-0.030191
0.463626,0.013424,-0.111352
0.723831,-0.102807,0.080929
0.790248,-0.108350,-0.044970
0.574723,-0.043938,0.080325
0.652369,-0.158739,0.097729
0.663428,-0.085021,-0.009168
0.483678,-0.005888,-0.069216
0.732713,-0.112909,0.069060
0.768529,-0.100308,-0.039692
0.605594,-0.068203,0.080104
0.660246,-0.152143,0.081297
0.628310,-0.064101,-0.029844
0.470926,-0.006821,-0.038419
0.727071,-0.108971,0.092750
0.784260,-0.106670,-0.044767
0.603289,-0.049615,0.083084
0.688059,-0.164947,0.098061
0.601343,-0.076288,-0.036201
0.450496,0.021431,-0.068952
0.735886,-0.099964,0.097098
0.799567,-0.117079,-0.030742
0.603674,-0.041085,0.067436
0.715618,-0.169530,0.097411
0.660829,-0.094520,-0.005766
0.472125,0.001670,-0.090201
0.749454,-0.104633,0.083795
0.794745,-0.102523,-0.057965
0.567561,-0.039364,0.053879
0.675103,-0.159626,0.089808
0.657886,-0.073227,-0.034868
0.478100,0.011672,-0.068075
0.743814,-0.100642,0.095588
0.791428,-0.102377,-0.037096
0.581128,-0.023892,0.066058
0.705388,-0.165933,0.094316
0.649229,-0.079982,-0.022928
0.442065,0.007283,-0.076722
0.717705,-0.092478,0.068619
0.778287,-0.090029,-0.079847
0.587762,-0.017276,0.058915
0.647310,-0.143586,0.064244
0.618824,-0.080501,-0.034590
0.481788,-0.010337,-0.064887
0.771745,-0.123978,0.105955
0.827142,-0.120217,-0.018048
0.600532,-0.055897,0.083054
0.661849,-0.153708,0.085645
0.677936,-0.093980,-0.017597
0.452645,0.008959,-0.087804
0.719899,-0.090737,0.089119
0.819067,-0.121019,-0.034756
0.552472,-0.033296,0.063574
0.685870,-0.160540,0.087516
0.663485,-0.097134,-0.003800
0.444162,0.006771,-0.085289
0.748364,-0.106404,0.106630
0.797502,-0.107760,-0.051146
0.614176,-0.042410,0.090329
0.673021,-0.161367,0.095269
0.660382,-0.095262,-0.016556
0.442516,-0.001859,-0.080983
0.762413,-0.122940,0.099117
0.798157,-0.102303,-0.043239
0.593931,-0.034070,0.076094
0.649582,-0.157721,0.095862
0.652178,-0.086645,-0.018542
0.491962,0.014369,-0.080943
0.705544,-0.082290,0.096276
0.799960,-0.110475,-0.043304
0.561647,-0.020415,0.041092
0.670717,-0.161277,0.096686
0.641258,-0.085456,-0.021021
0.442142,0.024472,-0.081773
0.748153,-0.101880,0.086825
0.784238,-0.100870,-0.045062
0.583967,-0.042682,0.067775
0.630533,-0.143730,0.071582
0.658792,-0.096810,-0.011907
0.469955,0.001685,-0.086369
0.754526,-0.100435,0.100945
0.840971,-0.118913,-0.039487
0.612821,-0.041800,0.071721
0.681597,-0.164724,0.099947
0.640505,-0.073107,-0.013622
0.459752,0.025437,-0.102238
0.713104,-0.104247,0.099471
0.802032,-0.100768,-0.068863
0.574180,-0.035122,0.052634
0.687928,-0.160849,0.091447
0.635662,-0.081211,-0.012214
0.443928,0.001133,-0.100905
0.727306,-0.099190,0.085425
0.805557,-0.120101,-0.027564
0.589974,-0.036835,0.073098
0.675405,-0.164527,0.100775
0.654083,-0.085009,-0.024603
0.409889,0.011176,-0.105952
0.723625,-0.097274,0.077654
0.830255,-0.117604,-0.038795
0.578668,-0.050449,0.063238
0.636535,-0.141701,0.065147
0.663252,-0.093407,-0.012108
0.435318,0.013274,-0.080830
0.745540,-0.109210,0.089479
0.768989,-0.102156,-0.062064
0.577924,-0.045948,0.079072
0.660885,-0.154155,0.083099
0.672081,-0.099938,0.015468
0.468087,0.018208,-0.067086
0.727975,-0.086217,0.077237
0.767465,-0.094879,-0.059538
0.586712,-0.029387,0.051812
0.679216,-0.156685,0.081396
0.674343,-0.100055,-0.005655
0.491963,-0.000439,-0.074964
0.732404,-0.104550,0.084139
0.782746,-0.098513,-0.064407
0.587924,-0.061597,0.074790
0.671762,-0.163561,0.100055
0.684815,-0.104117,-0.007296
0.424735,0.013490,-0.110217
0.728929,-0.107960,0.090441
0.676174,-0.153275,0.074784
0.660713,-0.085066,-0.023625
0.449161,-0.000536,-0.111470
0.737495,-0.127412,0.094440
0.809893,-0.099950,-0.043105
0.552199,-0.036046,0.058706
0.642866,-0.138021,0.053148
0.638396,-0.067444,-0.046441
0.453686,0.041424,-0.120737
0.738062,-0.120393,0.092468
0.797121,-0.113780,-0.035640
0.537394,-0.012178,0.054443
0.646908,-0.150065,0.080647
0.651300,-0.090885,-0.001385
0.457112,0.023769,-0.061351
0.724633,-0.090705,0.072344
0.801414,-0.105944,-0.031651
0.572585,-0.066472,0.078966
0.643204,-0.148642,0.077688
0.642214,-0.069987,-0.026629
0.459617,0.031473,-0.068976
0.722716,-0.093258,0.082482
0.802539,-0.105534,-0.053966
0.565470,-0.033015,0.066854
0.637716,-0.147520,0.077362
0.639583,-0.091679,-0.022203
0.444746,0.009164,-0.117795
0.692091,-0.080288,0.067312
0.802988,-0.111136,-0.050878
0.584120,-0.059509,0.068215
0.657042,-0.151637,0.079775
0.643414,-0.095551,-0.005975
0.455560,0.004412,-0.080156
0.711063,-0.114085,0.088414
0.810921,-0.112678,-0.040476
0.579577,-0.047865,0.059551
0.635804,-0.143500,0.068859
0.653008,-0.081425,-0.025265
0.447224,0.016538,-0.077880
0.721352,-0.103241,0.096327
0.793265,-0.116294,-0.043146
0.588082,-0.043150,0.079120
0.667575,-0.155313,0.086036
0.641369,-0.079393,-0.001186
0.418915,0.031394,-0.113117
0.766066,-0.115436,0.078035
0.827591,-0.113836,-0.036999
0.531441,-0.023211,0.055471
0.654353,-0.138455,0.051551
0.647995,-0.084010,-0.012563
0.419744,0.033607,-0.115388
0.728629,-0.113634,0.088689
0.766913,-0.087788,-0.069563
0.585951,-0.040814,0.063468
0.659628,-0.146578,0.066075
0.628918,-0.088535,-0.003395
0.439833,0.025359,-0.082537
0.731379,-0.115393,0.087480
0.793070,-0.099209,-0.060990
0.581246,-0.045131,0.074122
0.667387,-0.151496,0.076838
0.616420,-0.077389,-0.035012
0.464590,0.000473,-0.078353
0.704155,-0.096598,0.083425
0.835811,-0.129909,-0.018338
0.601748,-0.059950,0.085220
0.662338,-0.153470,0.081157
0.651832,-0.082558,-0.010966
0.473062,0.017930,-0.054973
0.762046,-0.109353,0.081966
0.829931,-0.126031,-0.023294
0.594616,-0.040751,0.078665
0.640280,-0.139046,0.057505
0.655997,-0.077982,-0.033605
0.441048,0.012575,-0.080494
0.736815,-0.120773,0.097855
0.838912,-0.127688,-0.007791
0.556074,-0.030679,0.049162
0.677419,-0.162730,0.095918
0.648256,-0.095051,0.009980
0.422261,0.022118,-0.103342
0.730048,-0.088405,0.082307
0.814654,-0.128919,-0.009554
0.586514,-0.048837,0.070840
0.659966,-0.144905,0.062003
0.627417,-0.075308,-0.032395
0.433689,-0.003454,-0.077783
0.734539,-0.119582,0.086688
0.829485,-0.114838,-0.030845
0.567849,-0.018607,0.064412
0.645416,-0.150425,0.080877
0.648349,-0.085458,-0.005976
0.422303,0.043965,-0.096436
0.724894,-0.098084,0.081854
0.789537,-0.107347,-0.040543
0.551774,-0.043790,0.046359
0.639339,-0.143248,0.066796
0.633593,-0.081946,-0.021147
0.431424,0.026105,-0.088308
0.724657,-0.093201,0.082645
0.805039,-0.106404,-0.060141
0.575808,-0.043890,0.070516
0.636922,-0.150871,0.088728
0.611207,-0.075421,-0.039204
0.438614,0.015732,-0.072563
0.737287,-0.115062,0.086701
0.811210,-0.109339,-0.036993
0.611417,-0.061177,0.088253
0.691600,-0.159753,0.083366
0.628027,-0.068444,-0.026551
0.420117,0.021762,-0.081683
0.762492,-0.126227,0.101670
0.809547,-0.118678,-0.029197
0.588583,-0.046743,0.079133
0.642816,-0.141529,0.064397
0.634476,-0.070079,-0.027321
0.468490,0.005217,-0.044541
0.707615,-0.096078,0.075113
0.796842,-0.118288,-0.024433
0.578579,-0.034069,0.075211
0.645917,-0.141852,0.060758
0.651262,-0.087734,-0.016103
0.460417,0.013851,-0.078377
0.726077,-0.117072,0.081767
0.795474,-0.106701,-0.040555
0.548196,-0.029226,0.044164
0.653721,-0.146112,0.067463
0.646327,-0.094408,0.007531
0.467250,0.016365,-0.082328
0.728931,-0.104061,0.080099
0.804988,-0.109677,-0.037729
0.555295,-0.025940,0.061786
0.688267,-0.157103,0.080394
0.637831,-0.088414,-0.021210
0.455462,0.020706,-0.116355
0.715077,-0.102427,0.075557
0.800195,-0.112628,-0.033071
0.562016,-0.044171,0.080665
0.642138,-0.154160,0.091527
0.668244,-0.086168,-0.000324
0.474482,0.001859,-0.074468
0.724281,-0.112208,0.063480
0.778729,-0.104430,-0.027692
0.593098,-0.068528,0.080532
0.650243,-0.147268,0.074264
0.633160,-0.064830,-0.020583
0.461559,0.001611,-0.043477
0.718264,-0.108669,0.087700
0.794242,-0.110926,-0.032838
0.590737,-0.049869,0.083444
0.678017,-0.160335,0.091695
0.605671,-0.077723,-0.026998
0.442288,0.030008,-0.073740
0.726932,-0.099847,0.092113
0.809619,-0.121518,-0.019033
0.591054,-0.041367,0.067980
0.705718,-0.164894,0.090907
0.665464,-0.096030,0.002955
0.463301,0.009148,-0.095431
0.740751,-0.104283,0.078464
0.804556,-0.106628,-0.045971
0.554717,-0.039672,0.054492
0.665072,-0.154902,0.083101
0.662473,-0.074166,-0.025758
0.469548,0.019980,-0.072996
0.734909,-0.100495,0.090544
0.801635,-0.106432,-0.025199
0.568379,-0.024088,0.066594
0.695474,-0.161243,0.087714
0.653872,-0.081136,-0.013917
0.433293,0.015303,-0.081881
0.708946,-0.092095,0.062933
0.787888,-0.093854,-0.067647
0.575021,-0.017452,0.059504
0.637409,-0.138548,0.056571
0.623116,-0.082004,-0.025484
0.472398,-0.002645,-0.070203
0.763090,-0.123676,0.101218
0.837381,-0.124489,-0.006532
0.587982,-0.056174,0.083413
0.651816,-0.148876,0.078798
0.682379,-0.095493,-0.008827
0.444052,0.016734,-0.092927
0.710880,-0.090616,0.083910
0.828966,-0.125504,-0.023106
0.539566,-0.033555,0.064110
0.675916,-0.155783,0.080677
0.668093,-0.098718,0.004871
0.435439,0.014542,-0.090478
0.739415,-0.106353,0.101918
0.807343,-0.112002,-0.039233
0.601696,-0.042584,0.090576
0.662926,-0.156725,0.088831
0.664757,-0.096964,-0.007780
0.433387,0.005716,-0.086360
0.753806,-0.122537,0.094216
0.808251,-0.106340,-0.031322
0.581288,-0.034284,0.076536
0.639352,-0.153116,0.089569
0.656742,-0.088016,-0.009634
0.483606,0.022437,-0.085835
0.696298,-0.082353,0.091285
0.809903,-0.114755,-0.031460
0.548711,-0.020636,0.041729
0.660599,-0.156653,0.090331
0.645775,-0.086876,-0.012066
0.434146,0.032822,-0.086551
0.739376,-0.101604,0.081554
0.794324,-0.104942,-0.033082
0.571254,-0.042972,0.068303
0.620466,-0.138750,0.064197
0.663217,-0.098538,-0.003173
0.461097,0.009263,-0.091595
0.745589,-0.100361,0.096024
0.850844,-0.123197,-0.027840
0.600259,-0.042072,0.072236
0.671501,-0.160152,0.093707
0.645483,-0.073991,-0.004575
0.451982,0.033276,-0.106984
0.704110,-0.104120,0.094639
0.811669,-0.104805,-0.056843
0.561359,-0.035410,0.053250
0.677967,-0.156101,0.084778
0.640469,-0.082392,-0.003249
0.435113,0.008241,-0.106240
0.718457,-0.098922,0.080141
0.815610,-0.124586,-0.015920
0.577301,-0.037078,0.073573
0.665262,-0.159992,0.094609
0.658570,-0.086360,-0.015652
0.401575,0.018419,-0.111094
0.714835,-0.096932,0.072181
0.840160,-0.121908,-0.027115
0.565935,-0.050782,0.063807
0.626575,-0.136649,0.057510
0.667789,-0.094932,-0.003336
0.426823,0.021373,-0.085882
0.736820,-0.108867,0.084308
0.778691,-0.106443,-0.049986
0.565230,-0.046200,0.079443
0.650851,-0.149335,0.076137
0.677028,-0.101312,0.023907
0.459764,0.026714,-0.071894
0.719064,-0.086006,0.071702
0.777373,-0.098893,-0.047392
0.573948,-0.029643,0.052429
0.669290,-0.151849,0.074323
0.678854,-0.101724,0.002979
0.483027,0.007350,-0.080115
0.723655,-0.104193,0.078839
0.792498,-0.102573,-0.052324
0.575306,-0.061928,0.075259
0.661606,-0.159016,0.093870
0.689196,-0.105933,0.001283
0.416580,0.020721,-0.115267
0.720141,-0.107640,0.085320
0.666884,-0.148743,0.068106
0.664212,-0.085929,-0.015439
0.440534,0.006521,-0.115923
0.728072,-0.126594,0.089639
0.819699,-0.103828,-0.031328
0.538508,-0.036328,0.059218
0.633637,-0.133289,0.045818
0.641850,-0.067886,-0.037969
0.447062,0.049521,-0.124100
0.728558,-0.119672,0.087583
0.806826,-0.118093,-0.023978
0.523587,-0.012317,0.054974
0.637433,-0.145569,0.074232
0.655060,-0.091798,0.006634
0.449290,0.032847,-0.065056
0.714943,-0.090125,0.066894
0.811335,-0.109978,-0.019965
0.559173,-0.066786,0.079282
0.633733,-0.144121,0.071161
0.645990,-0.070390,-0.018233
0.452151,0.040535,-0.072545
0.712938,-0.092756,0.077269
0.812057,-0.109626,-0.042155
0.551879,-0.033253,0.067304
0.628222,-0.142994,0.070834
0.642835,-0.093021,-0.014078
0.436629,0.016443,-0.122002
0.682236,-0.079749,0.061730
0.812451,-0.115413,-0.039131
0.570704,-0.059851,0.068689
0.647622,-0.147137,0.073303
0.646918,-0.096809,0.002028
0.446954,0.012540,-0.084411
0.701450,-0.113377,0.083455
0.820564,-0.116893,-0.028811
0.566072,-0.048190,0.060078
0.626385,-0.138880,0.062017
0.656551,-0.082195,-0.017019
0.439124,0.025120,-0.081860
0.711532,-0.102809,0.091513
0.802746,-0.120811,-0.031464
0.574674,-0.043386,0.079446
0.658157,-0.150869,0.079788
0.645402,-0.079924,0.006967
0.411858,0.039470,-0.116729
0.756725,-0.114637,0.072776
0.837283,-0.117972,-0.025407
0.517599,-0.023427,0.055991
0.645202,-0.133707,0.044192
0.651708,-0.084789,-0.004391
0.412827,0.041670,-0.118926
0.719052,-0.112956,0.083699
0.776427,-0.091552,-0.057452
0.572472,-0.041101,0.063966
0.650346,-0.141956,0.059128
0.632649,-0.089516,0.004699
0.432152,0.034070,-0.086328
0.721848,-0.114672,0.082465
0.802565,-0.103173,-0.049074
0.567787,-0.045403,0.074511
0.658052,-0.146950,0.070244
0.619764,-0.078313,-0.026630
0.455836,0.008496,-0.082663
0.694347,-0.096065,0.078276
0.845534,-0.134400,-0.007032
0.588472,-0.060223,0.085481
0.652926,-0.148996,0.074726
0.655620,-0.083244,-0.002794
0.465013,0.026947,-0.058733
0.752574,-0.108682,0.076761
0.839640,-0.130466,-0.011903
0.581236,-0.040980,0.079010
0.631001,-0.134327,0.050299
0.659475,-0.078667,-0.025304
0.432771,0.020986,-0.084592
0.727249,-0.120130,0.093113
0.848878,-0.131986,0.003433
0.542369,-0.030946,0.049718
0.667939,-0.158458,0.090053
0.652125,-0.096003,0.017860
0.414611,0.030228,-0.107245
0.720242,-0.087948,0.077063
0.824556,-0.133438,0.001727
0.573080,-0.049139,0.071279
0.650725,-0.140252,0.054932
0.630914,-0.076033,-0.024010
0.424636,0.004421,-0.082280
